Filename,Omega_m,Omega_b,h,n_s,sigma_8,logMmin,sigma_logM,logM0,logM1,alpha,id
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/705/diag/galaxies/hod07054_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,1.321644109508148,13.578002554522822,14.395999062483249,12.066626759540336,0.37104392163737654,705
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/705/diag/galaxies/hod07053_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,0.5635851645419425,13.363408992908141,14.655674326065462,12.765348196624991,0.4557357855665932,705
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/705/diag/galaxies/hod07051_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,1.4095915960085996,14.85129343314296,14.955579224758031,12.359523928793406,0.12221457957597567,705
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/705/diag/galaxies/hod07052_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,1.260454693724293,13.42775275875695,13.629876841332402,13.129220111600146,0.2871528137788487,705
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/705/diag/galaxies/hod07055_wst.h5,0.2839,0.03261,0.8777,0.9071,0.6379,0.010040749608793365,13.608764186777666,14.413175051399968,13.565046850970473,0.27186076523997993,705
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/338/diag/galaxies/hod03383_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,0.653147380745997,14.207795745350188,14.004670474700937,12.162681343273363,0.39989491132144317,338
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/338/diag/galaxies/hod03384_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,0.12627162390749153,13.627012507338675,13.068598413060009,12.62278063515334,0.39488328554560126,338
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/338/diag/galaxies/hod03382_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,0.7881938384894274,14.978004470406386,14.893375646839324,12.709484925265672,0.21944667216652794,338
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/338/diag/galaxies/hod03381_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,0.7416504180132606,13.053903520739157,13.491792008296274,12.283998386528012,0.5614786154313963,338
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/338/diag/galaxies/hod03385_wst.h5,0.3373,0.03779,0.6401,0.8835,0.6155,1.1760491196741585,14.302824071122435,14.450586668184034,13.372975862146202,0.30999154223377756,338
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/1668/diag/galaxies/hod16684_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,1.079494293066088,13.879597707610223,14.224890788993585,12.755001758414345,0.20861533239241567,1668
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/1668/diag/galaxies/hod16681_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,1.2216612744158577,14.115493774304865,14.812576952960278,12.035381328536497,0.4985110764926671,1668
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/1668/diag/galaxies/hod16685_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,0.7716755610653356,13.234985711199846,13.855433061190197,13.609089209557839,0.5059814342536084,1668
/anvil/scratch/x-abairagi/cmass-ili/quijote/nbody/L1000-N128/1668/diag/galaxies/hod16682_wst.h5,0.4505,0.04933,0.7809,0.8029,0.9875,0.7840991103590296,13.386512217486693,13.75138305620659,13.109922129724072,0.5576629932250908,1668
